firstdoseadministered,seconddoseadministered,testedasof
,,13/03/2020
,,18/03/2020
,,19/03/2020
,,19/03/2020
,,20/03/2020
,,20/03/2020
,,21/03/2020
,,21/03/2020
,,22/03/2020
,,22/03/2020
,,23/03/2020
,,23/03/2020
,,24/03/2020
,,24/03/2020
,,25/03/2020
,,25/03/2020
,,26/03/2020
,,26/03/2020
,,30/03/2020
,,31/03/2020
,,01/04/2020
,,02/04/2020
,,03/04/2020
,,03/04/2020
,,04/04/2020
,,05/04/2020
,,06/04/2020
,,07/04/2020
,,08/04/2020
,,09/04/2020
,,10/04/2020
,,11/04/2020
,,12/04/2020
,,13/04/2020
,,14/04/2020
,,15/04/2020
,,16/04/2020
,,17/04/2020
,,18/04/2020
,,19/04/2020
,,20/04/2020
,,21/04/2020
,,
,,22/04/2020
,,23/04/2020
,,24/04/2020
,,25/04/2020
,,26/04/2020
,,27/04/2020
,,28/04/2020
,,29/04/2020
,,30/04/2020
,,01/05/2020
,,02/05/2020
,,03/05/2020
,,04/05/2020
,,05/05/2020
,,06/05/2020
,,07/05/2020
,,08/05/2020
,,09/05/2020
,,10/05/2020
,,11/05/2020
,,12/05/2020
,,13/05/2020
,,14/05/2020
,,15/05/2020
,,16/05/2020
,,17/05/2020
,,18/05/2020
,,19/05/2020
,,20/05/2020
,,21/05/2020
,,22/05/2020
,,23/05/2020
,,24/05/2020
,,25/05/2020
,,26/05/2020
,,27/05/2020
,,28/05/2020
,,29/05/2020
,,30/05/2020
,,31/05/2020
,,01/06/2020
,,02/06/2020
,,03/06/2020
,,04/06/2020
,,05/06/2020
,,06/06/2020
,,07/06/2020
,,08/06/2020
,,09/06/2020
,,10/06/2020
,,11/06/2020
,,12/06/2020
,,13/06/2020
,,14/06/2020
,,15/06/2020
,,16/06/2020
,,17/06/2020
,,18/06/2020
,,19/06/2020
,,20/06/2020
,,21/06/2020
,,22/06/2020
,,23/06/2020
,,24/06/2020
,,25/06/2020
,,26/06/2020
,,27/06/2020
,,28/06/2020
,,29/06/2020
,,30/06/2020
,,01/07/2020
,,02/07/2020
,,03/07/2020
,,04/07/2020
,,05/07/2020
,,06/07/2020
,,07/07/2020
,,08/07/2020
,,09/07/2020
,,10/07/2020
,,11/07/2020
,,12/07/2020
,,13/07/2020
,,14/07/2020
,,15/07/2020
,,16/07/2020
,,17/07/2020
,,18/07/2020
,,19/07/2020
,,20/07/2020
,,21/07/2020
,,22/07/2020
,,23/07/2020
,,24/07/2020
,,25/07/2020
,,26/07/2020
,,27/07/2020
,,28/07/2020
,,29/07/2020
,,30/07/2020
,,31/07/2020
,,01/08/2020
,,02/08/2020
,,03/08/2020
,,04/08/2020
,,05/08/2020
,,06/08/2020
,,07/08/2020
,,08/08/2020
,,09/08/2020
,,10/08/2020
,,11/08/2020
,,12/08/2020
,,13/08/2020
,,14/08/2020
,,15/08/2020
,,16/08/2020
,,17/08/2020
,,18/08/2020
,,19/08/2020
,,20/08/2020
,,21/08/2020
,,22/08/2020
,,23/08/2020
,,24/08/2020
,,25/08/2020
,,26/08/2020
,,27/08/2020
,,28/08/2020
,,29/08/2020
,,30/08/2020
,,31/08/2020
,,01/09/2020
,,02/09/2020
,,03/09/2020
,,04/09/2020
,,05/09/2020
,,06/09/2020
,,07/09/2020
,,08/09/2020
,,09/09/2020
,,10/09/2020
,,11/09/2020
,,12/09/2020
,,13/09/2020
,,14/09/2020
,,15/09/2020
,,16/09/2020
,,17/09/2020
,,18/09/2020
,,19/09/2020
,,20/09/2020
,,21/09/2020
,,22/09/2020
,,23/09/2020
,,24/09/2020
,,25/09/2020
,,26/09/2020
,,27/09/2020
,,28/09/2020
,,29/09/2020
,,30/09/2020
,,01/10/2020
,,02/10/2020
,,03/10/2020
,,04/10/2020
,,05/10/2020
,,06/10/2020
,,07/10/2020
,,08/10/2020
,,09/10/2020
,,10/10/2020
,,11/10/2020
,,12/10/2020
,,13/10/2020
,,14/10/2020
,,15/10/2020
,,16/10/2020
,,17/10/2020
,,18/10/2020
,,19/10/2020
,,20/10/2020
,,21/10/2020
,,22/10/2020
,,23/10/2020
,,24/10/2020
,,25/10/2020
,,26/10/2020
,,27/10/2020
,,28/10/2020
,,29/10/2020
,,30/10/2020
,,31/10/2020
,,1/11/2020
,,2/11/2020
,,3/11/2020
,,4/11/2020
,,5/11/2020
,,6/11/2020
,,7/11/2020
,,8/11/2020
,,9/11/2020
,,10/11/2020
,,11/11/2020
,,12/11/2020
,,13/11/2020
,,14/11/2020
,,15/11/2020
,,16/11/2020
,,17/11/2020
,,18/11/2020
,,19/11/2020
,,20/11/2020
,,21/11/2020
,,22/11/2020
,,23/11/2020
,,24/11/2020
,,25/11/2020
,,26/11/2020
,,27/11/2020
,,28/11/2020
,,29/11/2020
,,30/11/2020
,,1/12/2020
,,2/12/2020
,,3/12/2020
,,4/12/2020
,,5/12/2020
,,6/12/2020
,,7/12/2020
,,8/12/2020
,,9/12/2020
,,10/12/2020
,,11/12/2020
,,12/12/2020
,,13/12/2020
,,14/12/2020
,,15/12/2020
,,16/12/2020
,,17/12/2020
,,18/12/2020
,,19/12/2020
,,20/12/2020
,,21/12/2020
,,22/12/2020
,,23/12/2020
,,24/12/2020
,,25/12/2020
,,26/12/2020
,,27/12/2020
,,28/12/2020
,,29/12/2020
,,30/12/2020
,,31/12/2020
,,01/01/2021
,,02/01/2021
,,03/01/2021
,,04/01/2021
,,05/01/2021
,,06/01/2021
,,07/01/2021
,,08/01/2021
,,09/01/2021
,,10/01/2021
,,11/01/2021
,,12/01/2021
,,13/01/2021
,,14/01/2021
,,15/01/2021
191181,,16/01/2021
224301,,17/01/2021
454049,,18/01/2021
630417,,19/01/2021
806484,,20/01/2021
1043534,,21/01/2021
1390592,,22/01/2021
1582201,,23/01/2021
1615504,,24/01/2021
2023809,,25/01/2021
2029480,,26/01/2021
2355979,,27/01/2021
2928053,,28/01/2021
3500027,,29/01/2021
3744334,,30/01/2021
3758843,,31/01/2021
3950156,,01/02/2021
4138918,,02/02/2021
4449552,,03/02/2021
4959445,,04/02/2021
5416849,,05/02/2021
5775322,,06/02/2021
5812362,,07/02/2021
6259008,,08/02/2021
6611561,,09/02/2021
7017114,,10/02/2021
7505010,,11/02/2021
7967647,,12/02/2021
8240230,23628,13/02/2021
8260734,24561,14/02/2021
8560531,160291,15/02/2021
8722853,276377,16/02/2021
9053061,369167,17/02/2021
9577108,610899,18/02/2021
9868043,847161,19/02/2021
10124531,960642,20/02/2021
10149002,967852,21/02/2021
10487375,1258177,22/02/2021
10767198,1398400,23/02/2021
11054815,1616348,24/02/2021
11439649,2032994,25/02/2021
11788669,2453878,26/02/2021
11845075,2456191,27/02/2021
11845075,2456191,28/02/2021
12256337,2597799,01/03/2021
12906771,2713978,02/03/2021
13739121,2876927,03/03/2021
14796835,3208668,04/03/2021
15996683,3501021,05/03/2021
17168303,3754041,06/03/2021
17227903,3761107,07/03/2021
18943283,4065450,08/03/2021
20004227,4363679,09/03/2021
21034481,4650530,10/03/2021
21435841,4729079,11/03/2021
23075504,5142953,12/03/2021
24307635,5430774,13/03/2021
24452385,5455653,14/03/2021
27079484,5867948,15/03/2021
28862037,6202499,16/03/2021
30600787,6542468,17/03/2021
32426230,6913587,18/03/2021
34842030,7221362,19/03/2021
37125187,7478654,20/03/2021
37574302,7491696,21/03/2021
40631153,7863441,22/03/2021
42731952,8109334,23/03/2021
44846538,8299171,24/03/2021
47001472,8502968,25/03/2021
49426618,8683155,26/03/2021
51441436,8828346,27/03/2021
51660234,8870201,28/03/2021
52211398,8901956,29/03/2021
53989035,9065318,30/03/2021
55783201,9334695,31/03/2021
59148798,9640340,01/04/2021
63081589,9972706,02/04/2021
65739470,10240181,03/04/2021
68678838,10426325,04/04/2021
72277309,10833617,05/04/2021
75937015,11140459,06/04/2021
78763027,11435646,07/04/2021
82456522,11877740,08/04/2021
85763852,12311308,09/04/2021
88885961,12709186,10/04/2021
91587400,12941165,11/04/2021
95043039,13490046,12/04/2021
97301914,13877664,13/04/2021
100179199,14314039,14/04/2021
102349255,14874254,15/04/2021
104408484,15529157,16/04/2021
106431076,16191514,17/04/2021
107371770,16480796,18/04/2021
109659181,17469932,19/04/2021
111645892,18473418,20/04/2021
113147596,19183048,21/04/2021
115073463,20404957,22/04/2021
116936487,21443345,23/04/2021
118580324,22336093,24/04/2021
119265786,22645437,25/04/2021
121361009,23910177,26/04/2021
122930008,24897359,27/04/2021
124212143,25808505,28/04/2021
125486929,26758250,29/04/2021
127056746,27932889,30/04/2021
128171153,28644878,01/05/2021
128374277,28823930,02/05/2021
129227412,29705509,03/05/2021
130044455,30449733,04/05/2021
130974851,31538488,05/05/2021
132087824,32885234,06/05/2021
133112446,34234098,07/05/2021
133980544,35459119,08/05/2021
134404867,35771736,09/05/2021
135494474,37215592,10/05/2021
136619734,38616257,11/05/2021
137658380,39555876,12/05/2021
138719426,40579158,13/05/2021
139375695,41081884,14/05/2021
140523796,41696368,15/05/2021
141147770,41778690,16/05/2021
142428227,42024922,17/05/2021
143583902,42225400,18/05/2021
144623670,42386122,19/05/2021
149201320,42678183,20/05/2021
150501478,42871341,21/05/2021
151945271,43058913,22/05/2021
152930249,43121713,23/05/2021
155235374,43303625,24/05/2021
157149593,43512863,25/05/2021
159025328,43670546,26/05/2021
161850092,43870568,27/05/2021
164779253,44123192,28/05/2021
167617477,44449137,29/05/2021
168613371,44540758,30/05/2021
171200166,44846472,31/05/2021
173411496,45135171,01/06/2021
175665160,45378533,02/06/2021
178486097,45623351,03/06/2021
181952338,45907979,04/06/2021
185138502,46183915,05/06/2021
186514773,46271709,06/06/2021
189595747,46602979,07/06/2021
192137133,46921227,08/06/2021
195482945,47243748,09/06/2021
198511574,47574075,10/06/2021
201690149,47910155,11/06/2021
204893461,48301587,12/06/2021
206369672,48479629,13/06/2021
210166746,48877326,14/06/2021
212681926,49290093,15/06/2021
215848080,49671171,16/06/2021
218873616,50086783,17/06/2021
221901281,50487502,18/06/2021
225687086,51006486,19/06/2021
228741774,51295124,20/06/2021
236681488,52084713,21/06/2021
241894504,52745007,22/06/2021
248224925,53401103,23/06/2021
253737871,54210873,24/06/2021
259834772,55211154,25/06/2021
265384559,56375518,26/06/2021
266933878,56729419,27/06/2021
271131337,57898173,28/06/2021
274013600,58840927,29/06/2021
276099880,59616139,30/06/2021
279454091,60622141,01/07/2021
282743449,61867842,02/07/2021
287137161,64084145,03/07/2021
288323682,64568364,04/07/2021
291172390,66381222,05/07/2021
293706832,67616716,06/07/2021
295889870,68957679,07/07/2021
298678913,70312309,08/07/2021
300742742,71453526,09/07/2021
303171498,72861088,10/07/2021
304018852,73333649,11/07/2021
306612781,74854865,12/07/2021
311387539,76310396,13/07/2021
313529502,77810989,14/07/2021
316116189,79227578,15/07/2021
318665226,81030653,16/07/2021
321893762,83037953,17/07/2021
322944436,83537057,18/07/2021
326392783,85453618,19/07/2021
328716212,86756243,20/07/2021
330259212,87591939,21/07/2021
333945151,89471879,22/07/2021
336819816,91062445,23/07/2021
340387695,92763169,24/07/2021
341802707,93393294,25/07/2021
346516149,95396246,26/07/2021
349324061,96832598,27/07/2021
352545271,98160986,28/07/2021
356140739,99893015,29/07/2021
359820313,101698166,30/07/2021
366806160,103492436,31/07/2021
367994586,104229053,01/08/2021
